comp;p; -1,xinolol,NO hint,uv_nalla
"Look mom, so old-",m1,two,https://imgur.com/a/t67sxwy
"Yuvaan thought his debit card was a lottery ticket and scratched off 8 of the numbers. Help him find his original card number. 
",5.19245E+15,NO hint,https://imgur.com/XRqcdqD
Tijil the LXII. got off from bus 010 after finishing his favourite DAVID FINCHER INVESTIGATOR MOVIE he started to walk towards NOT SOUTH before seeing CARBON. walking down the road listening to song HIGH DECIBELS wearing DIRK NOWITZKI'S JERSEY of size W. So whose harbour is soham in?,thor,"If we told you to follow the system of eratosthenes of cyrene, how would you do it from the text we provided?",uv_nalla
"Arnav Gupta started running towards the light, not knowing how far he had left to go, but he knew how fast he was running. He stopped for a breath and calculated the distance left but suddenly had no idea how long it would take him to cover. Once he continued his journey, he became aware again how fast he was running but forgot the distance left. 
Here’s something to lead you to the light:
Network Architectures: Client-Server and [blank]",walterwhite,NO hint,uv_nalla
David went to his kitchen to grab some food from the refrigerator but strangely found some numbers and letters written on the refrigerator. Little did he know that the characters were just a part of his imagination because of the fact that he was suffering from something. What was he suffering from?,mooddisorder ,six: E65AADF,uv_nalla
the material basis of heredity in 1898’s holy war,tabsversusspaces,score,uv_nalla
Your friend RASEAC who favours reforms has challenged you to solve this cryptic question: aycxosjgsoacikllzhiuke,directedbyrobertbweide,.gnisaercni speek sretcarahc eht neewteb ecnereffid eht dna trats eht si dne eht semitemoS,uv_nalla
" Hello There hunters, do u have what it takes to get the number? https://drive.google.com/file/d/1K7k38p9sQvYRzOfWBzjdbKLVWfueKOAe/view?usp=sharing",2187,NO hint,https://imgur.com/a/H1bBW1F
Here is an imgur link,finalfantasy,https://imgur.com/x6zBtND,https://imgur.com/a/tMklsso
